,Date,SecuritiesCode,Close,AdjustedClose,ExpectedDividend,MovingAvg_5Day,ExpMovingAvg_5Day,Volatility_5Day
5,2017-01-12,1301,2731.0,2731.0,0,2740.4,2739.4279835390957,0.0029694626365044
6,2017-01-13,1301,2722.0,2722.0,0,2737.2,2733.6186556927305,0.0031779578219762
7,2017-01-16,1301,2704.0,2704.0,0,2730.0,2723.7457704618205,0.0037339666356816
8,2017-01-17,1301,2686.0,2686.0,0,2717.6,2711.163846974547,0.0023828110839902
9,2017-01-18,1301,2694.0,2694.0,0,2707.4,2705.4425646496984,0.0040054061670958
10,2017-01-19,1301,2699.0,2699.0,0,2701.0,2703.295043099799,0.004583240055691
11,2017-01-20,1301,2737.0,2737.0,0,2704.0,2714.5300287331997,0.008519733060715
12,2017-01-23,1301,2720.0,2720.0,0,2707.2,2716.3533524888,0.0084294441893002
13,2017-01-24,1301,2727.0,2727.0,0,2715.4,2719.902234992533,0.0071986316765315
14,2017-01-25,1301,2731.0,2731.0,0,2722.8,2723.6014899950223,0.0072330735044798
15,2017-01-26,1301,2733.0,2733.0,0,2729.6,2726.7343266633484,0.0072841989927902
16,2017-01-27,1301,2727.0,2727.0,0,2727.6,2726.8228844422324,0.0035447442866304
17,2017-01-30,1301,2734.0,2734.0,0,2730.4,2729.2152562948218,0.0019635183701199
18,2017-01-31,1301,2722.0,2722.0,0,2729.4,2726.810170863215,0.0028619494086941
19,2017-02-01,1301,2735.0,2735.0,0,2730.2,2729.54011390881,0.0036592540278204
20,2017-02-02,1301,2729.0,2729.0,0,2729.4,2729.3600759392066,0.0038028700610962
21,2017-02-03,1301,2720.0,2720.0,0,2728.0,2726.240050626138,0.0039697915591672
22,2017-02-06,1301,2725.0,2725.0,0,2726.2,2725.8267004174254,0.0038400659284708
23,2017-02-07,1301,2731.0,2731.0,0,2728.0,2727.551133611617,0.0033341910545394
24,2017-02-08,1301,2737.0,2737.0,0,2728.4,2730.700755741078,0.0026765248425639
25,2017-02-09,1301,2737.0,2737.0,0,2730.0,2732.800503827385,0.0023571729035993
26,2017-02-10,1301,2745.0,2745.0,0,2735.0,2736.8670025515903,0.0010958423180641
27,2017-02-13,1301,2782.0,2782.0,0,2746.4,2751.9113350343937,0.005285029653758
28,2017-02-14,1301,2801.0,2801.0,0,2760.4,2768.2742233562626,0.0052636025585987
29,2017-02-15,1301,2824.0,2824.0,0,2777.8,2786.8494822375087,0.0051271763300275
981,2017-01-12,1332,544.0,544.0,0,560.4,556.8641975308643,0.0137959920813071
982,2017-01-13,1332,553.0,553.0,0,557.4,555.5761316872429,0.0182266638306442
983,2017-01-16,1332,538.0,538.0,0,550.0,549.7174211248287,0.0172737974887008
984,2017-01-17,1332,520.0,520.0,0,541.6,539.8116140832192,0.0194083821280543
985,2017-01-18,1332,537.0,537.0,0,538.4,538.8744093888129,0.0287888843995141
986,2017-01-19,1332,554.0,554.0,0,540.4,543.9162729258753,0.032106654605429
987,2017-01-20,1332,545.0,545.0,0,538.8,544.277515283917,0.0321957317184523
988,2017-01-23,1332,535.0,535.0,0,538.2,541.185010189278,0.0306969566326943
989,2017-01-24,1332,539.0,539.0,0,542.0,540.4566734595187,0.0245731334611319
990,2017-01-25,1332,547.0,547.0,0,544.0,542.6377823063458,0.021136739775533
991,2017-01-26,1332,554.0,554.0,0,544.0,546.4251882042306,0.0161668645713387
992,2017-01-27,1332,563.0,563.0,0,547.6,551.9501254694871,0.0143677018661048
993,2017-01-30,1332,567.0,567.0,0,554.0,556.9667503129915,0.0041566487351334
994,2017-01-31,1332,556.0,556.0,0,557.4,556.644500208661,0.0148284211436289
995,2017-02-01,1332,548.0,548.0,0,557.6,553.7630001391074,0.0163148288418036
996,2017-02-02,1332,541.0,541.0,0,555.0,549.508666759405,0.0154610488045871
997,2017-02-03,1332,546.0,546.0,0,551.6,548.3391111729367,0.0132841349522071
998,2017-02-06,1332,593.0,593.0,0,556.8,563.2260741152911,0.0426040774226638
999,2017-02-07,1332,589.0,589.0,0,563.4,571.8173827435274,0.0408031293233752
1000,2017-02-08,1332,579.0,579.0,0,569.6,574.211588495685,0.0412372513631006
1001,2017-02-09,1332,574.0,574.0,0,576.2,574.1410589971233,0.0406706888724431
1002,2017-02-10,1332,573.0,573.0,0,581.6,573.7607059980822,0.0411401800993967
1003,2017-02-13,1332,583.0,583.0,0,579.6,576.8404706653882,0.0128333997929403
1004,2017-02-14,1332,571.0,571.0,0,576.0,574.8936471102588,0.0150890854762597
1005,2017-02-15,1332,576.0,576.0,0,575.4,575.2624314068393,0.0148389151152586
1957,2017-01-12,1333,3180.0,3180.0,0,3224.0,3206.707818930042,0.0115571397862187
1958,2017-01-13,1333,3230.0,3230.0,0,3220.0,3214.4718792866947,0.0125927255532383
1959,2017-01-16,1333,3240.0,3240.0,0,3214.0,3222.981252857797,0.0122153164701381
1960,2017-01-17,1333,3170.0,3170.0,0,3201.0,3205.320835238532,0.0149391274214891
1961,2017-01-18,1333,3235.0,3235.0,0,3211.0,3215.213890159021,0.016552420612066
1962,2017-01-19,1333,3245.0,3245.0,0,3224.0,3225.142593439348,0.016352601683537
1963,2017-01-20,1333,3190.0,3190.0,0,3216.0,3213.4283956262325,0.0170974298213123
1964,2017-01-23,1333,3165.0,3165.0,0,3201.0,3197.285597084155,0.0169040730928344
1965,2017-01-24,1333,3130.0,3130.0,0,3193.0,3174.8570647227707,0.0147227344512947
1966,2017-01-25,1333,3135.0,3135.0,0,3173.0,3161.5713764818474,0.0085537020869692
1967,2017-01-26,1333,3165.0,3165.0,0,3157.0,3162.7142509878986,0.0105641761776454
1968,2017-01-27,1333,3160.0,3160.0,0,3151.0,3161.809500658599,0.0081156361338204
1969,2017-01-30,1333,3155.0,3155.0,0,3149.0,3159.539667105733,0.0074147141856422
1970,2017-01-31,1333,3120.0,3120.0,0,3147.0,3146.359778070489,0.0074272529378932
1971,2017-02-01,1333,3125.0,3125.0,0,3145.0,3139.239852046993,0.0074276380428035
1972,2017-02-02,1333,3110.0,3110.0,0,3134.0,3129.4932346979954,0.0048400662452929
1973,2017-02-03,1333,3135.0,3135.0,0,3129.0,3131.328823131997,0.0071441099656107
1974,2017-02-06,1333,3195.0,3195.0,0,3137.0,3152.552548754665,0.0116395986952111
1975,2017-02-07,1333,3380.0,3380.0,0,3189.0,3228.3683658364434,0.0241674512662626
1976,2017-02-08,1333,3335.0,3335.0,0,3231.0,3263.9122438909626,0.0271510051942651
