,SecuritiesCode,Open,High,Low,Close,Volume,AdjustmentFactor,ExpectedDividend,Target,CumulativeAdjustmentFactor,AdjustedClose,Return_5Day,MovingAvg_5Day,ExpMovingAvg_5Day,Volatility_5Day,Return_10Day,MovingAvg_10Day,ExpMovingAvg_10Day,Volatility_10Day,Return_20Day,MovingAvg_20Day,ExpMovingAvg_20Day,Volatility_20Day,Return_30Day,MovingAvg_30Day,ExpMovingAvg_30Day,Volatility_30Day,Return_50Day,MovingAvg_50Day,ExpMovingAvg_50Day,Volatility_50Day,sentiment_score_all,sentiment_score_sub
0,6758,7331.0,7429.0,7325.0,7420.0,5154100,1.0,0,0.000653167864141,1.0,7420.0,0.0018903591682419,7423.0,7417.172317596689,0.0039681451757158,-0.0046948356807511,7410.5,7395.812270182662,0.007466755390162,0.0447761194029849,7331.6,7300.229380423491,0.0081209961639909,0.0984455958549221,7169.666666666667,7192.009163354227,0.0092455088355116,0.1505659792215847,6934.4,7000.961172720875,0.0113029402125745,0.0,0.0
1,6758,7542.0,7703.0,7532.0,7655.0,11720000,1.0,0,0.018798955613577,1.0,7655.0,0.0320884454631251,7470.6,7496.448211731127,0.0144410133502223,0.0326453527586672,7434.7,7442.937311967633,0.0122068455219631,0.0784728092420399,7359.45,7334.017058478397,0.0103504589752129,0.1430491264745408,7201.6,7221.879539912019,0.0102969105533735,0.1849845201238389,6958.3,7026.609754182801,0.0119920149472753,0.5267,0.5267
2,6758,7591.0,7702.0,7514.0,7660.0,11405100,1.0,0,0.0049974372116863,1.0,7660.0,0.0313720210044432,7517.2,7550.965474487419,0.0145039546566885,0.0277740507178316,7455.4,7482.403255246245,0.0122050708726797,0.0806997742663657,7388.05,7365.063052909026,0.0103062330931292,0.1548319011005579,7235.833333333333,7250.145376046727,0.0099794064850113,0.2053501180173091,6984.4,7051.448587352103,0.0116557719705492,0.0,0.0
3,6758,7775.0,7839.0,7717.0,7804.0,9195400,1.0,0,0.024607930638786,1.0,7804.0,0.04751677852349,7588.0,7635.310316324946,0.01531827639543,0.0652470652470651,7503.2,7540.875390656019,0.0108918553170304,0.1041312959818903,7424.85,7406.866571679595,0.0106809196439077,0.1672150762787914,7273.1,7285.87793243081,0.0102812963336546,0.2309148264984226,7013.68,7080.960407455942,0.0118085715128034,0.0,0.0
4,6758,7864.0,7916.0,7830.0,7843.0,7961300,1.0,0,-0.0194126431060228,1.0,7843.0,0.0597216592352385,7676.4,7704.540210883298,0.0130188778299011,0.0610119047619046,7548.3,7595.807137809469,0.0108570398080128,0.0978443449048152,7459.8,7448.40308866249,0.0105953191311146,0.1683301057649338,7310.766666666666,7321.821291628822,0.0102791749378918,0.2421602787456445,7044.26,7110.844313045905,0.011748562828938,0.0,0.0
5,6758,7950.0,8113.0,7943.0,8036.0,13303600,1.0,0,0.0071065989847716,1.0,8036.0,0.0830188679245282,7799.6,7815.026807255532,0.012876585569464,0.0850661625708883,7611.3,7675.842203662292,0.0121677529114227,0.1091787439613527,7499.35,7504.364699266062,0.0112990231262343,0.1653132250580047,7348.766666666666,7367.897337330189,0.0101001544303553,0.2615384615384615,7077.58,7147.124928220576,0.0120689753547282,0.0,0.0
6,6758,7935.0,8016.0,7863.0,7880.0,11286400,1.0,0,-0.0015120967741935,1.0,7880.0,0.0293925538863488,7844.6,7836.684538170355,0.0171725338074782,0.062424160711878,7657.6,7712.96180299642,0.0149608348527818,0.091563928521956,7532.4,7540.139489812152,0.0124607381093516,0.1367570686670514,7380.366666666667,7400.936218792757,0.0110611137870201,0.223222601676498,7106.34,7175.865127113887,0.0125054491383109,-0.5423,-0.5423
7,6758,7879.0,7993.0,7857.0,7936.0,6695700,1.0,0,0.0084553255931347,1.0,7936.0,0.0360313315926892,7899.8,7869.789692113571,0.0169303620206892,0.0685337282886764,7708.5,7753.514202451616,0.0148699514714917,0.0869743870702643,7564.15,7577.840490782424,0.0123729955261747,0.1506452080614759,7415.0,7435.456462741612,0.0109291453867651,0.2468185388845247,7137.76,7205.674337815303,0.0122950034662595,0.0,0.0
8,6758,8020.0,8037.0,7924.0,7924.0,6791500,1.0,0,-0.0058816168189212,1.0,7924.0,0.0153767298821116,7923.8,7887.8597947423805,0.0158586890022412,0.0636241610738255,7755.9,7784.511620187685,0.0150617312109098,0.0646244793765955,7588.2,7610.808063088861,0.0119023526165546,0.1477404403244495,7449.0,7466.97540062925,0.0109680321215698,0.1960754716981132,7163.74,7233.843971626468,0.0111928206229571,0.0,0.0
9,6758,7992.0,8013.0,7966.0,7991.0,4286200,1.0,0,0.0018882175226586,1.0,7991.0,0.0188703302307791,7953.4,7922.239863161587,0.0160367509085169,0.0797189568977165,7814.9,7822.054961971742,0.0143806040369369,0.0703187784623626,7614.45,7647.01681898516,0.0119608993253474,0.1418976850528721,7482.1,7500.783439298331,0.0108638266039546,0.2072820667774588,7191.18,7263.536364896018,0.0111942264440174,0.0,0.0
